id,from_id,to_id,roles
349,250,252,['Sam Baldwin']
350,213,252,['Annie Reed']
351,253,252,['Suzy']
352,254,252,['Walter']
353,255,252,['Greg']
354,256,252,['Becky']
356,250,257,['Joe Banks']
357,213,257,"['DeDe', 'Angelica Graynamore', 'Patricia Graynamore']"
358,259,257,['Baw']
360,261,260,['Harry Burns']
361,213,260,['Sally Albright']
362,262,260,['Marie']
363,263,260,['Jess']
368,250,264,['Mr. White']
369,265,264,['Faye Dolan']
370,191,264,['Tina']
372,180,266,['Shane Falco']
373,267,266,['Annabelle Farrell']
374,268,266,['Jimmy McGinty']
375,269,266,['Clifford Franklin']
377,230,271,['Admiral']
378,272,271,['Dieter Dengler']
379,273,271,['Squad Leader']
380,249,271,['Duane']
382,239,274,['Armand Goldman']
383,259,274,['Albert Goldman']
384,268,274,['Sen. Kevin Keeley']
386,277,276,['English Bob']
387,278,276,['Bill Munny']
388,268,276,['Little Bill Daggett']
390,180,279,['Johnny Mnemonic']
391,280,279,['Takahashi']
392,281,279,['Jane']
393,282,279,['J-Bone']
395,250,284,"['Zachry', 'Dr. Henry Goose', 'Isaac Sachs', 'Dermot Hoggins']"
396,183,284,"['Bill Smoke', 'Haskell Moore', 'Tadeusz Kesselring', 'Nurse Noakes', 'Boardman Mephi', 'Old Georgie']"
397,285,284,"['Luisa Rey', 'Jocasta Ayrs', 'Ovid', 'Meronym']"
398,286,284,"['Vyvyan Ayrs', 'Captain Molyneux', 'Timothy Cavendish']"
402,250,288,['Dr. Robert Langdon']
403,289,288,['Sir Leight Teabing']
404,290,288,['Sophie Neveu']
405,291,288,['Silas']
407,183,293,['V']
408,294,293,['Evey Hammond']
409,295,293,['Eric Finch']
410,296,293,['High Chancellor Adam Sutler']
411,297,293,['Dascomb']
418,299,298,['Speed Racer']
419,300,298,['Pops']
420,301,298,['Mom']
421,302,298,['Racer X']
422,303,298,['Trixie']
423,304,298,['Taejo Togokahn']
424,297,298,['Cass Jones']
430,304,305,['Raizo']
431,306,305,['Mika Coretti']
432,243,305,['Takeshi']
433,297,305,['Ryan Maslow']
438,250,307,['Paul Edgecomb']
439,308,307,['John Coffey']
440,309,307,"['Brutus ""Brutal"" Howell']"
441,221,307,['Jan Edgecomb']
442,244,307,['Warden Hal Moores']
443,310,307,"['""Wild Bill"" Wharton']"
444,311,307,['Burt Hammersmith']
445,312,307,['Melinda Moores']
447,315,314,['Richard Nixon']
448,316,314,['David Frost']
449,198,314,['Jack Brennan']
450,317,314,['Bob Zelnick']
451,310,314,"['James Reston, Jr.']"
453,196,318,['Hoffa']
454,319,318,"['Robert ""Bobby"" Ciaro']"
455,203,318,['Frank Fitzsimmons']
456,320,318,"['Peter ""Pete"" Connelly']"
458,250,321,['Jim Lovell']
459,198,321,['Jack Swigert']
460,322,321,['Gene Kranz']
461,323,321,['Fred Haise']
462,311,321,['Ken Mattingly']
464,323,324,['Bill Harding']
465,232,324,['Dr. Jo Harding']
466,273,324,['Eddie']
467,325,324,"['Dustin ""Dusty"" Davis']"
469,250,327,['Chuck Noland']
470,232,327,['Kelly Frears']
472,196,329,['Randle McMurphy']
473,319,329,['Martini']
475,196,331,['Harry Sanborn']
476,332,331,['Erica Barry']
477,180,331,['Julian Mercer']
481,239,334,['Andrew Marin']
482,317,334,['Rupert Burns']
484,250,336,['Rep. Charlie Wilson']
485,337,336,['Joanne Herring']
486,325,336,['Gust Avrakotos']
488,250,338,"['Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus']"
490,250,339,['Jimmy Dugan']
491,341,339,['Dottie Hinson']
492,342,339,['Kit Keller']
493,256,339,['Doris Murphy']
494,340,339,"['""All the Way"" Mae Mordabito']"
495,323,339,['Bob Hinson']
508,349,348,['Ki Taek']
509,350,348,['Dong Ik']
510,351,348,['Yeon Kyo']
511,352,348,['Ki Woo']
512,353,348,['Ki Jung']
513,355,354,['Arthur Fleck']
514,356,354,['Murray Franklin']
515,357,354,['Sophie Dumond']
516,359,358,['Neo']
517,360,358,['Trinity']
518,361,358,['Morpheus']
519,362,358,['Agent Smith']
523,366,358,['Emil']
524,359,367,['Neo']
525,360,367,['Trinity']
526,361,367,['Morpheus']
527,362,367,['Agent Smith']
531,359,368,['Neo']
532,360,368,['Trinity']
533,361,368,['Morpheus']
534,362,368,['Agent Smith']
538,359,369,['Kevin Lomax']
539,370,369,['Mary Ann Lomax']
540,371,369,['John Milton']
542,374,373,['Lt. Daniel Kaffee']
543,375,373,['Col. Nathan R. Jessup']
544,376,373,['Lt. Cdr. JoAnne Galloway']
545,377,373,['Capt. Jack Ross']
546,378,373,['Lt. Jonathan Kendrick']
547,379,373,['Cpl. Jeffrey Barnes']
548,380,373,['Cpl. Carl Hammaker']
549,381,373,['Lt. Sam Weinberg']
550,382,373,['Lt. Col. Matthew Andrew Markinson']
551,383,373,['Pfc. Louden Downey']
552,384,373,['Dr. Stone']
553,386,373,['Man in Bar']
556,374,387,['Maverick']
557,388,387,['Charlie']
558,389,387,['Iceman']
559,390,387,['Goose']
560,391,387,['Viper']
561,392,387,['Carole']
564,374,395,['Jerry Maguire']
565,380,395,['Rod Tidwell']
566,396,395,['Dorothy Boyd']
567,397,395,['Avery Bishop']
568,398,395,['Frank Cushman']
569,399,395,['Bob Sugar']
570,400,395,['Laurel Boyd']
571,401,395,['Marcee Tidwell']
572,402,395,['Ray Boyd']
576,407,404,['Gordie Lachance']
577,405,404,['Chris Chambers']
578,398,404,['Vern Tessio']
579,406,404,['Teddy Duchamp']
580,408,404,['Denny Lachance']
581,378,404,['Ace Merrill']
582,409,404,['Mr. Lachance']
584,375,410,['Melvin Udall']
585,411,410,['Carol Connelly']
586,412,410,['Simon Bishop']
587,380,410,['Frank Sachs']
589,418,414,['Chris Nielsen']
590,380,414,['Albert Lewis']
591,415,414,['Annie Collins-Nielsen']
592,416,414,['The Tracker']
593,417,414,['The Face']
595,421,420,['Ishmael Chambers']
596,422,420,['Kazuo Miyamoto']
597,416,420,['Nels Gudmundsson']
598,423,420,['Judge Fielding']
600,429,425,['Joe Fox']
601,392,425,['Kathleen Kelly']
602,412,425,['Frank Navasky']
603,426,425,['Patricia Eden']
604,427,425,['Kevin Jackson']
605,428,425,['George Pappas']
607,429,431,['Sam Baldwin']
608,392,431,['Annie Reed']
609,432,431,['Suzy']
610,433,431,['Walter']
611,434,431,['Greg']
612,435,431,['Becky']
614,429,436,['Joe Banks']
615,392,436,"['DeDe', 'Angelica Graynamore', 'Patricia Graynamore']"
616,438,436,['Baw']
618,440,439,['Harry Burns']
619,392,439,['Sally Albright']
620,441,439,['Marie']
621,442,439,['Jess']
626,429,443,['Mr. White']
627,444,443,['Faye Dolan']
628,370,443,['Tina']
630,359,445,['Shane Falco']
631,446,445,['Annabelle Farrell']
632,447,445,['Jimmy McGinty']
633,448,445,['Clifford Franklin']
635,409,450,['Admiral']
636,451,450,['Dieter Dengler']
637,452,450,['Squad Leader']
638,428,450,['Duane']
640,418,453,['Armand Goldman']
641,438,453,['Albert Goldman']
642,447,453,['Sen. Kevin Keeley']
644,456,455,['English Bob']
645,457,455,['Bill Munny']
646,447,455,['Little Bill Daggett']
648,359,458,['Johnny Mnemonic']
649,459,458,['Takahashi']
650,460,458,['Jane']
651,461,458,['J-Bone']
653,429,463,"['Zachry', 'Dr. Henry Goose', 'Isaac Sachs', 'Dermot Hoggins']"
654,362,463,"['Bill Smoke', 'Haskell Moore', 'Tadeusz Kesselring', 'Nurse Noakes', 'Boardman Mephi', 'Old Georgie']"
655,464,463,"['Luisa Rey', 'Jocasta Ayrs', 'Ovid', 'Meronym']"
656,465,463,"['Vyvyan Ayrs', 'Captain Molyneux', 'Timothy Cavendish']"
660,429,467,['Dr. Robert Langdon']
661,468,467,['Sir Leight Teabing']
662,469,467,['Sophie Neveu']
663,470,467,['Silas']
665,362,472,['V']
666,473,472,['Evey Hammond']
667,474,472,['Eric Finch']
668,475,472,['High Chancellor Adam Sutler']
669,476,472,['Dascomb']
676,478,477,['Speed Racer']
677,479,477,['Pops']
678,480,477,['Mom']
679,481,477,['Racer X']
680,482,477,['Trixie']
681,483,477,['Taejo Togokahn']
682,476,477,['Cass Jones']
688,483,484,['Raizo']
689,485,484,['Mika Coretti']
690,422,484,['Takeshi']
691,476,484,['Ryan Maslow']
696,429,486,['Paul Edgecomb']
697,487,486,['John Coffey']
698,488,486,"['Brutus ""Brutal"" Howell']"
699,400,486,['Jan Edgecomb']
700,423,486,['Warden Hal Moores']
701,489,486,"['""Wild Bill"" Wharton']"
702,490,486,['Burt Hammersmith']
703,491,486,['Melinda Moores']
705,494,493,['Richard Nixon']
706,495,493,['David Frost']
707,377,493,['Jack Brennan']
708,496,493,['Bob Zelnick']
709,489,493,"['James Reston, Jr.']"
711,375,497,['Hoffa']
712,498,497,"['Robert ""Bobby"" Ciaro']"
713,382,497,['Frank Fitzsimmons']
714,499,497,"['Peter ""Pete"" Connelly']"
716,429,500,['Jim Lovell']
717,377,500,['Jack Swigert']
718,501,500,['Gene Kranz']
719,502,500,['Fred Haise']
720,490,500,['Ken Mattingly']
722,502,503,['Bill Harding']
723,411,503,['Dr. Jo Harding']
724,452,503,['Eddie']
725,504,503,"['Dustin ""Dusty"" Davis']"
727,429,506,['Chuck Noland']
728,411,506,['Kelly Frears']
730,375,508,['Randle McMurphy']
731,498,508,['Martini']
733,375,510,['Harry Sanborn']
734,511,510,['Erica Barry']
735,359,510,['Julian Mercer']
739,418,513,['Andrew Marin']
740,496,513,['Rupert Burns']
742,429,515,['Rep. Charlie Wilson']
743,516,515,['Joanne Herring']
744,504,515,['Gust Avrakotos']
746,429,517,"['Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus']"
748,429,518,['Jimmy Dugan']
749,520,518,['Dottie Hinson']
750,521,518,['Kit Keller']
751,435,518,['Doris Murphy']
752,519,518,"['""All the Way"" Mae Mordabito']"
753,502,518,['Bob Hinson']
766,528,527,['Ki Taek']
767,529,527,['Dong Ik']
768,530,527,['Yeon Kyo']
769,531,527,['Ki Woo']
770,532,527,['Ki Jung']
771,534,533,['Arthur Fleck']
772,535,533,['Murray Franklin']
773,536,533,['Sophie Dumond']
774,538,537,['Neo']
775,539,537,['Trinity']
776,540,537,['Morpheus']
777,541,537,['Agent Smith']
781,545,537,['Emil']
782,538,546,['Neo']
783,539,546,['Trinity']
784,540,546,['Morpheus']
785,541,546,['Agent Smith']
789,538,547,['Neo']
790,539,547,['Trinity']
791,540,547,['Morpheus']
792,541,547,['Agent Smith']
796,538,548,['Kevin Lomax']
797,549,548,['Mary Ann Lomax']
798,550,548,['John Milton']
800,553,552,['Lt. Daniel Kaffee']
801,554,552,['Col. Nathan R. Jessup']
802,555,552,['Lt. Cdr. JoAnne Galloway']
803,556,552,['Capt. Jack Ross']
804,557,552,['Lt. Jonathan Kendrick']
805,558,552,['Cpl. Jeffrey Barnes']
806,559,552,['Cpl. Carl Hammaker']
807,560,552,['Lt. Sam Weinberg']
808,561,552,['Lt. Col. Matthew Andrew Markinson']
809,562,552,['Pfc. Louden Downey']
810,563,552,['Dr. Stone']
811,565,552,['Man in Bar']
814,553,566,['Maverick']
815,567,566,['Charlie']
816,568,566,['Iceman']
817,569,566,['Goose']
818,570,566,['Viper']
819,571,566,['Carole']
822,553,574,['Jerry Maguire']
823,559,574,['Rod Tidwell']
824,575,574,['Dorothy Boyd']
825,576,574,['Avery Bishop']
826,577,574,['Frank Cushman']
827,578,574,['Bob Sugar']
828,579,574,['Laurel Boyd']
829,580,574,['Marcee Tidwell']
830,581,574,['Ray Boyd']
834,586,583,['Gordie Lachance']
835,584,583,['Chris Chambers']
836,577,583,['Vern Tessio']
837,585,583,['Teddy Duchamp']
838,587,583,['Denny Lachance']
839,557,583,['Ace Merrill']
840,588,583,['Mr. Lachance']
842,554,589,['Melvin Udall']
843,590,589,['Carol Connelly']
844,591,589,['Simon Bishop']
845,559,589,['Frank Sachs']
847,597,593,['Chris Nielsen']
848,559,593,['Albert Lewis']
849,594,593,['Annie Collins-Nielsen']
850,595,593,['The Tracker']
851,596,593,['The Face']
853,600,599,['Ishmael Chambers']
854,601,599,['Kazuo Miyamoto']
855,595,599,['Nels Gudmundsson']
856,602,599,['Judge Fielding']
858,608,604,['Joe Fox']
859,571,604,['Kathleen Kelly']
860,591,604,['Frank Navasky']
861,605,604,['Patricia Eden']
862,606,604,['Kevin Jackson']
863,607,604,['George Pappas']
865,608,610,['Sam Baldwin']
866,571,610,['Annie Reed']
867,611,610,['Suzy']
868,612,610,['Walter']
869,613,610,['Greg']
870,614,610,['Becky']
872,608,615,['Joe Banks']
873,571,615,"['DeDe', 'Angelica Graynamore', 'Patricia Graynamore']"
874,617,615,['Baw']
876,619,618,['Harry Burns']
877,571,618,['Sally Albright']
878,620,618,['Marie']
879,621,618,['Jess']
884,608,622,['Mr. White']
885,623,622,['Faye Dolan']
886,549,622,['Tina']
888,538,624,['Shane Falco']
889,625,624,['Annabelle Farrell']
890,626,624,['Jimmy McGinty']
891,627,624,['Clifford Franklin']
893,588,629,['Admiral']
894,630,629,['Dieter Dengler']
895,631,629,['Squad Leader']
896,607,629,['Duane']
898,597,632,['Armand Goldman']
899,617,632,['Albert Goldman']
900,626,632,['Sen. Kevin Keeley']
902,635,634,['English Bob']
903,636,634,['Bill Munny']
904,626,634,['Little Bill Daggett']
906,538,637,['Johnny Mnemonic']
907,638,637,['Takahashi']
908,639,637,['Jane']
909,640,637,['J-Bone']
911,608,642,"['Zachry', 'Dr. Henry Goose', 'Isaac Sachs', 'Dermot Hoggins']"
912,541,642,"['Bill Smoke', 'Haskell Moore', 'Tadeusz Kesselring', 'Nurse Noakes', 'Boardman Mephi', 'Old Georgie']"
913,643,642,"['Luisa Rey', 'Jocasta Ayrs', 'Ovid', 'Meronym']"
914,644,642,"['Vyvyan Ayrs', 'Captain Molyneux', 'Timothy Cavendish']"
918,608,646,['Dr. Robert Langdon']
919,647,646,['Sir Leight Teabing']
920,648,646,['Sophie Neveu']
921,649,646,['Silas']
923,541,651,['V']
924,652,651,['Evey Hammond']
925,653,651,['Eric Finch']
926,654,651,['High Chancellor Adam Sutler']
927,655,651,['Dascomb']
934,657,656,['Speed Racer']
935,658,656,['Pops']
936,659,656,['Mom']
937,660,656,['Racer X']
938,661,656,['Trixie']
939,662,656,['Taejo Togokahn']
940,655,656,['Cass Jones']
946,662,663,['Raizo']
947,664,663,['Mika Coretti']
948,601,663,['Takeshi']
949,655,663,['Ryan Maslow']
954,608,665,['Paul Edgecomb']
955,666,665,['John Coffey']
956,667,665,"['Brutus ""Brutal"" Howell']"
957,579,665,['Jan Edgecomb']
958,602,665,['Warden Hal Moores']
959,668,665,"['""Wild Bill"" Wharton']"
960,669,665,['Burt Hammersmith']
961,670,665,['Melinda Moores']
963,673,672,['Richard Nixon']
964,674,672,['David Frost']
965,556,672,['Jack Brennan']
966,675,672,['Bob Zelnick']
967,668,672,"['James Reston, Jr.']"
969,554,676,['Hoffa']
970,677,676,"['Robert ""Bobby"" Ciaro']"
971,561,676,['Frank Fitzsimmons']
972,678,676,"['Peter ""Pete"" Connelly']"
974,608,679,['Jim Lovell']
975,556,679,['Jack Swigert']
976,680,679,['Gene Kranz']
977,681,679,['Fred Haise']
978,669,679,['Ken Mattingly']
980,681,682,['Bill Harding']
981,590,682,['Dr. Jo Harding']
982,631,682,['Eddie']
983,683,682,"['Dustin ""Dusty"" Davis']"
985,608,685,['Chuck Noland']
986,590,685,['Kelly Frears']
988,554,687,['Randle McMurphy']
989,677,687,['Martini']
991,554,689,['Harry Sanborn']
992,690,689,['Erica Barry']
993,538,689,['Julian Mercer']
997,597,692,['Andrew Marin']
998,675,692,['Rupert Burns']
1000,608,694,['Rep. Charlie Wilson']
1001,695,694,['Joanne Herring']
1002,683,694,['Gust Avrakotos']
1004,608,696,"['Hero Boy', 'Father', 'Conductor', 'Hobo', 'Scrooge', 'Santa Claus']"
1006,608,697,['Jimmy Dugan']
1007,699,697,['Dottie Hinson']
1008,700,697,['Kit Keller']
1009,614,697,['Doris Murphy']
1010,698,697,"['""All the Way"" Mae Mordabito']"
1011,681,697,['Bob Hinson']
1024,707,706,['Ki Taek']
1025,708,706,['Dong Ik']
1026,709,706,['Yeon Kyo']
1027,710,706,['Ki Woo']
1028,711,706,['Ki Jung']
1029,713,712,['Arthur Fleck']
1030,714,712,['Murray Franklin']
1031,715,712,['Sophie Dumond']
1032,717,716,['Neo']
1033,718,716,['Trinity']
1034,719,716,['Morpheus']
1035,720,716,['Agent Smith']
1039,724,716,['Emil']
1040,717,725,['Neo']
1041,718,725,['Trinity']
1042,719,725,['Morpheus']
1043,720,725,['Agent Smith']
1047,717,726,['Neo']
1048,718,726,['Trinity']
1049,719,726,['Morpheus']
1050,720,726,['Agent Smith']
1054,717,727,['Kevin Lomax']
1055,728,727,['Mary Ann Lomax']
1056,729,727,['John Milton']
1058,732,731,['Lt. Daniel Kaffee']
1059,733,731,['Col. Nathan R. Jessup']
1060,734,731,['Lt. Cdr. JoAnne Galloway']
1061,735,731,['Capt. Jack Ross']
1062,736,731,['Lt. Jonathan Kendrick']
1063,737,731,['Cpl. Jeffrey Barnes']
1064,738,731,['Cpl. Carl Hammaker']
1065,739,731,['Lt. Sam Weinberg']
1066,740,731,['Lt. Col. Matthew Andrew Markinson']
1067,741,731,['Pfc. Louden Downey']
1068,742,731,['Dr. Stone']
1069,744,731,['Man in Bar']
1072,732,745,['Maverick']
1073,746,745,['Charlie']
1074,747,745,['Iceman']
1075,748,745,['Goose']
1076,749,745,['Viper']
1077,750,745,['Carole']
1080,732,753,['Jerry Maguire']
1081,738,753,['Rod Tidwell']
1082,754,753,['Dorothy Boyd']
1083,755,753,['Avery Bishop']
1084,756,753,['Frank Cushman']
1085,757,753,['Bob Sugar']
1086,758,753,['Laurel Boyd']
1087,759,753,['Marcee Tidwell']
1088,760,753,['Ray Boyd']
1092,765,762,['Gordie Lachance']
1093,763,762,['Chris Chambers']
1094,756,762,['Vern Tessio']
1095,764,762,['Teddy Duchamp']
1096,766,762,['Denny Lachance']
1097,736,762,['Ace Merrill']
1098,767,762,['Mr. Lachance']
1100,733,768,['Melvin Udall']
1101,769,768,['Carol Connelly']
1102,770,768,['Simon Bishop']
1103,738,768,['Frank Sachs']
1105,776,772,['Chris Nielsen']
1106,738,772,['Albert Lewis']
1107,773,772,['Annie Collins-Nielsen']
1108,774,772,['The Tracker']
1109,775,772,['The Face']
1111,779,778,['Ishmael Chambers']
1112,780,778,['Kazuo Miyamoto']
1113,774,778,['Nels Gudmundsson']
1114,781,778,['Judge Fielding']
1116,787,783,['Joe Fox']
1117,750,783,['Kathleen Kelly']
1118,770,783,['Frank Navasky']
1119,784,783,['Patricia Eden']
1120,785,783,['Kevin Jackson']
1121,786,783,['George Pappas']
1123,787,789,['Sam Baldwin']
1124,750,789,['Annie Reed']
1125,790,789,['Suzy']
1126,791,789,['Walter']
1127,792,789,['Greg']
1128,793,789,['Becky']
1130,787,794,['Joe Banks']
1131,750,794,"['DeDe', 'Angelica Graynamore', 'Patricia Graynamore']"
1132,796,794,['Baw']
1134,798,797,['Harry Burns']
1135,750,797,['Sally Albright']
1136,799,797,['Marie']
