id,tagline,title,release_year
189,Everything that has a beginning has an end,The Matrix Revolutions,2003
190,Evil has its winning ways,The Devil's Advocate,1997
194,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
208,"I feel the need, the need for speed.",Top Gun,1986
216,The rest of his life begins now.,Jerry Maguire,2000
225,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
231,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
235,After life there is more. The end is just the beginning.,What Dreams May Come,1998
241,First loves last. Forever.,Snow Falling on Cedars,1999
246,At odds in life... in love on-line.,You've Got Mail,1998
252,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
257,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
260,At odds in life... in love on-line.,When Harry Met Sally,1998
264,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
266,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
271,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
274,Come as you are,The Birdcage,1996
276,"It's a hell of a thing, killing a man",Unforgiven,1992
279,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
284,Everything is connected,Cloud Atlas,2012
288,Break The Codes,The Da Vinci Code,2006
293,Freedom! Forever!,V for Vendetta,2006
298,Speed has no limits,Speed Racer,2008
305,Prepare to enter a secret world of assassins,Ninja Assassin,2009
307,Walk a mile you'll never forget.,The Green Mile,1999
314,400 million people were waiting for the truth.,Frost/Nixon,2008
318,He didn't want law. He wanted justice.,Hoffa,1992
321,"Houston, we have a problem.",Apollo 13,1995
324,Don't Breathe. Don't Look Back.,Twister,1996
327,"At the edge of the world, his journey begins.",Cast Away,2000
329,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
331,,Something's Gotta Give,2003
334,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
336,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
338,This Holiday Season… Believe,The Polar Express,2004
339,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
348,Act like you own the place,Parasite,2019
354,Put on a happy face,Joker,2019
358,Welcome to the Real World,The Matrix,1999
367,Free your mind,The Matrix Reloaded,2003
368,Everything that has a beginning has an end,The Matrix Revolutions,2003
369,Evil has its winning ways,The Devil's Advocate,1997
373,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
387,"I feel the need, the need for speed.",Top Gun,1986
395,The rest of his life begins now.,Jerry Maguire,2000
404,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
410,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
414,After life there is more. The end is just the beginning.,What Dreams May Come,1998
420,First loves last. Forever.,Snow Falling on Cedars,1999
425,At odds in life... in love on-line.,You've Got Mail,1998
431,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
436,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
439,At odds in life... in love on-line.,When Harry Met Sally,1998
443,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
445,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
450,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
453,Come as you are,The Birdcage,1996
455,"It's a hell of a thing, killing a man",Unforgiven,1992
458,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
463,Everything is connected,Cloud Atlas,2012
467,Break The Codes,The Da Vinci Code,2006
472,Freedom! Forever!,V for Vendetta,2006
477,Speed has no limits,Speed Racer,2008
484,Prepare to enter a secret world of assassins,Ninja Assassin,2009
486,Walk a mile you'll never forget.,The Green Mile,1999
493,400 million people were waiting for the truth.,Frost/Nixon,2008
497,He didn't want law. He wanted justice.,Hoffa,1992
500,"Houston, we have a problem.",Apollo 13,1995
503,Don't Breathe. Don't Look Back.,Twister,1996
506,"At the edge of the world, his journey begins.",Cast Away,2000
508,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
510,,Something's Gotta Give,2003
513,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
515,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
517,This Holiday Season… Believe,The Polar Express,2004
518,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
527,Act like you own the place,Parasite,2019
533,Put on a happy face,Joker,2019
537,Welcome to the Real World,The Matrix,1999
546,Free your mind,The Matrix Reloaded,2003
547,Everything that has a beginning has an end,The Matrix Revolutions,2003
548,Evil has its winning ways,The Devil's Advocate,1997
552,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
566,"I feel the need, the need for speed.",Top Gun,1986
574,The rest of his life begins now.,Jerry Maguire,2000
583,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
589,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
593,After life there is more. The end is just the beginning.,What Dreams May Come,1998
599,First loves last. Forever.,Snow Falling on Cedars,1999
604,At odds in life... in love on-line.,You've Got Mail,1998
610,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
615,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
618,At odds in life... in love on-line.,When Harry Met Sally,1998
622,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
624,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
629,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
632,Come as you are,The Birdcage,1996
634,"It's a hell of a thing, killing a man",Unforgiven,1992
637,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
642,Everything is connected,Cloud Atlas,2012
646,Break The Codes,The Da Vinci Code,2006
651,Freedom! Forever!,V for Vendetta,2006
656,Speed has no limits,Speed Racer,2008
663,Prepare to enter a secret world of assassins,Ninja Assassin,2009
665,Walk a mile you'll never forget.,The Green Mile,1999
672,400 million people were waiting for the truth.,Frost/Nixon,2008
676,He didn't want law. He wanted justice.,Hoffa,1992
679,"Houston, we have a problem.",Apollo 13,1995
682,Don't Breathe. Don't Look Back.,Twister,1996
685,"At the edge of the world, his journey begins.",Cast Away,2000
687,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
689,,Something's Gotta Give,2003
692,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
694,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
696,This Holiday Season… Believe,The Polar Express,2004
697,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
706,Act like you own the place,Parasite,2019
712,Put on a happy face,Joker,2019
716,Welcome to the Real World,The Matrix,1999
725,Free your mind,The Matrix Reloaded,2003
726,Everything that has a beginning has an end,The Matrix Revolutions,2003
727,Evil has its winning ways,The Devil's Advocate,1997
731,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
745,"I feel the need, the need for speed.",Top Gun,1986
753,The rest of his life begins now.,Jerry Maguire,2000
762,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
768,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
772,After life there is more. The end is just the beginning.,What Dreams May Come,1998
778,First loves last. Forever.,Snow Falling on Cedars,1999
783,At odds in life... in love on-line.,You've Got Mail,1998
789,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
794,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
797,At odds in life... in love on-line.,When Harry Met Sally,1998
801,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
803,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
808,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
811,Come as you are,The Birdcage,1996
813,"It's a hell of a thing, killing a man",Unforgiven,1992
816,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
821,Everything is connected,Cloud Atlas,2012
825,Break The Codes,The Da Vinci Code,2006
830,Freedom! Forever!,V for Vendetta,2006
835,Speed has no limits,Speed Racer,2008
842,Prepare to enter a secret world of assassins,Ninja Assassin,2009
844,Walk a mile you'll never forget.,The Green Mile,1999
851,400 million people were waiting for the truth.,Frost/Nixon,2008
855,He didn't want law. He wanted justice.,Hoffa,1992
858,"Houston, we have a problem.",Apollo 13,1995
861,Don't Breathe. Don't Look Back.,Twister,1996
864,"At the edge of the world, his journey begins.",Cast Away,2000
866,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
868,,Something's Gotta Give,2003
871,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
873,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
875,This Holiday Season… Believe,The Polar Express,2004
876,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
885,Act like you own the place,Parasite,2019
891,Put on a happy face,Joker,2019
895,Welcome to the Real World,The Matrix,1999
904,Free your mind,The Matrix Reloaded,2003
905,Everything that has a beginning has an end,The Matrix Revolutions,2003
906,Evil has its winning ways,The Devil's Advocate,1997
910,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
924,"I feel the need, the need for speed.",Top Gun,1986
932,The rest of his life begins now.,Jerry Maguire,2000
941,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
947,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
951,After life there is more. The end is just the beginning.,What Dreams May Come,1998
957,First loves last. Forever.,Snow Falling on Cedars,1999
962,At odds in life... in love on-line.,You've Got Mail,1998
968,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
973,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
976,At odds in life... in love on-line.,When Harry Met Sally,1998
980,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
982,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
987,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
990,Come as you are,The Birdcage,1996
992,"It's a hell of a thing, killing a man",Unforgiven,1992
995,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
1000,Everything is connected,Cloud Atlas,2012
1004,Break The Codes,The Da Vinci Code,2006
1009,Freedom! Forever!,V for Vendetta,2006
1014,Speed has no limits,Speed Racer,2008
1021,Prepare to enter a secret world of assassins,Ninja Assassin,2009
1023,Walk a mile you'll never forget.,The Green Mile,1999
1030,400 million people were waiting for the truth.,Frost/Nixon,2008
1034,He didn't want law. He wanted justice.,Hoffa,1992
1037,"Houston, we have a problem.",Apollo 13,1995
1040,Don't Breathe. Don't Look Back.,Twister,1996
1043,"At the edge of the world, his journey begins.",Cast Away,2000
1045,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
1047,,Something's Gotta Give,2003
1050,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
1052,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
1054,This Holiday Season… Believe,The Polar Express,2004
1055,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
1064,Act like you own the place,Parasite,2019
1070,Put on a happy face,Joker,2019
1074,Welcome to the Real World,The Matrix,1999
1083,Free your mind,The Matrix Reloaded,2003
1084,Everything that has a beginning has an end,The Matrix Revolutions,2003
1085,Evil has its winning ways,The Devil's Advocate,1997
1089,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
1103,"I feel the need, the need for speed.",Top Gun,1986
1111,The rest of his life begins now.,Jerry Maguire,2000
1120,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
1126,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
1130,After life there is more. The end is just the beginning.,What Dreams May Come,1998
1136,First loves last. Forever.,Snow Falling on Cedars,1999
1141,At odds in life... in love on-line.,You've Got Mail,1998
1147,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
1152,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
1155,At odds in life... in love on-line.,When Harry Met Sally,1998
1159,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
1161,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
1166,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
1169,Come as you are,The Birdcage,1996
1171,"It's a hell of a thing, killing a man",Unforgiven,1992
1174,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
1179,Everything is connected,Cloud Atlas,2012
1183,Break The Codes,The Da Vinci Code,2006
1188,Freedom! Forever!,V for Vendetta,2006
1193,Speed has no limits,Speed Racer,2008
1200,Prepare to enter a secret world of assassins,Ninja Assassin,2009
1202,Walk a mile you'll never forget.,The Green Mile,1999
1209,400 million people were waiting for the truth.,Frost/Nixon,2008
1213,He didn't want law. He wanted justice.,Hoffa,1992
1216,"Houston, we have a problem.",Apollo 13,1995
1219,Don't Breathe. Don't Look Back.,Twister,1996
1222,"At the edge of the world, his journey begins.",Cast Away,2000
1224,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
1226,,Something's Gotta Give,2003
1229,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
1231,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
1233,This Holiday Season… Believe,The Polar Express,2004
1234,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
1243,Act like you own the place,Parasite,2019
1249,Put on a happy face,Joker,2019
1253,Welcome to the Real World,The Matrix,1999
1262,Free your mind,The Matrix Reloaded,2003
1263,Everything that has a beginning has an end,The Matrix Revolutions,2003
1264,Evil has its winning ways,The Devil's Advocate,1997
1268,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",A Few Good Men,1992
1282,"I feel the need, the need for speed.",Top Gun,1986
1290,The rest of his life begins now.,Jerry Maguire,2000
1299,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand By Me,1986
1305,A comedy from the heart that goes for the throat.,As Good as It Gets,1997
1309,After life there is more. The end is just the beginning.,What Dreams May Come,1998
1315,First loves last. Forever.,Snow Falling on Cedars,1999
1320,At odds in life... in love on-line.,You've Got Mail,1998
1326,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,1993
1331,"A story of love, lava and burning desire.",Joe Versus the Volcano,1990
1334,At odds in life... in love on-line.,When Harry Met Sally,1998
1338,In every life there comes a time when that thing you dream becomes that thing you do,That Thing You Do,1996
1340,"Pain heals, Chicks dig scars... Glory lasts forever",The Replacements,2000
1345,Based on the extraordinary true story of one man's fight for freedom,RescueDawn,2006
1348,Come as you are,The Birdcage,1996
1350,"It's a hell of a thing, killing a man",Unforgiven,1992
1353,The hottest data on earth. In the coolest head in town,Johnny Mnemonic,1995
1358,Everything is connected,Cloud Atlas,2012
1362,Break The Codes,The Da Vinci Code,2006
1367,Freedom! Forever!,V for Vendetta,2006
1372,Speed has no limits,Speed Racer,2008
1379,Prepare to enter a secret world of assassins,Ninja Assassin,2009
1381,Walk a mile you'll never forget.,The Green Mile,1999
1388,400 million people were waiting for the truth.,Frost/Nixon,2008
1392,He didn't want law. He wanted justice.,Hoffa,1992
1395,"Houston, we have a problem.",Apollo 13,1995
1398,Don't Breathe. Don't Look Back.,Twister,1996
1401,"At the edge of the world, his journey begins.",Cast Away,2000
1403,"If he's crazy, what does that make you?",One Flew Over the Cuckoo's Nest,1975
1405,,Something's Gotta Give,2003
1408,One robot's 200 year journey to become an ordinary man.,Bicentennial Man,1999
1410,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,Charlie Wilson's War,2007
1412,This Holiday Season… Believe,The Polar Express,2004
1413,Once in a lifetime you get a chance to do something different.,A League of Their Own,1992
1422,Act like you own the place,Parasite,2019
1428,Put on a happy face,Joker,2019
